Title,Author,Year,Genre,Price,Rating
War and Peace,Margaret Atwood,2017,Sci-Fi,12.86,2.6
1984,George Orwell,1836,Romance,14.94,4.7
War and Peace,Aldous Huxley,1868,Dystopian,18.08,4.4
Moby-Dick,Aldous Huxley,1886,Sci-Fi,5.79,2.3
Moby-Dick,J.R.R. Tolkien,1874,Historical,5.88,1.9
War and Peace,J.R.R. Tolkien,1914,Fantasy,16.97,4.0
Pride and Prejudice,Jane Austen,1870,Fantasy,12.88,2.5
The Hobbit,J.D. Salinger,1936,Romance,16.66,2.9
Brave New World,J.D. Salinger,1985,Non-Fiction,8.86,1.2
The Hobbit,J.R.R. Tolkien,1984,Fantasy,8.0,3.2
The Hobbit,Harper Lee,1833,Fiction,10.35,2.4
Animal Farm,Jane Austen,1802,Political,9.53,4.9
The Hobbit,J.R.R. Tolkien,1993,Political,8.47,4.9
Animal Farm,J.D. Salinger,2015,Fantasy,5.23,3.9
Pride and Prejudice,Herman Melville,1976,Non-Fiction,7.66,3.1
War and Peace,F. Scott Fitzgerald,1961,Fiction,15.0,2.1
Pride and Prejudice,Aldous Huxley,1932,Sci-Fi,12.44,4.5
Pride and Prejudice,J.R.R. Tolkien,1817,Historical,11.9,3.9
The Catcher in the Rye,F. Scott Fitzgerald,1801,Non-Fiction,9.95,3.2
Animal Farm,George Orwell,2014,Dystopian,10.47,3.8
1984,George Orwell,1944,Romance,6.17,4.6
Animal Farm,George Orwell,1838,Political,10.48,1.4
War and Peace,F. Scott Fitzgerald,1915,Romance,11.54,2.0
The Great Gatsby,Jane Austen,1973,Mystery,8.95,2.1
Animal Farm,Aldous Huxley,1926,Dystopian,15.58,3.5
Animal Farm,J.R.R. Tolkien,2010,Fantasy,18.54,1.3
1984,Aldous Huxley,1926,Mystery,14.33,2.2
Animal Farm,Harper Lee,1854,Non-Fiction,9.5,3.7
The Catcher in the Rye,George Orwell,1838,Sci-Fi,15.27,5.0
The Great Gatsby,Harper Lee,1850,Fiction,10.83,4.1
Animal Farm,Herman Melville,1902,Historical,14.19,2.1
Animal Farm,Harper Lee,1841,Non-Fiction,10.04,1.3
1984,George Orwell,2015,Historical,6.62,1.7
1984,J.D. Salinger,1818,Mystery,7.61,1.3
Brave New World,George Orwell,1893,Romance,17.31,1.1
The Hobbit,Aldous Huxley,2012,Mystery,18.7,4.4
The Hobbit,Margaret Atwood,1886,Mystery,5.9,2.0
The Hobbit,Leo Tolstoy,1965,Historical,18.62,4.6
The Catcher in the Rye,J.D. Salinger,1957,Romance,10.51,1.4
Pride and Prejudice,Jane Austen,1886,Historical,16.13,5.0
The Great Gatsby,Aldous Huxley,1968,Sci-Fi,10.89,1.1
Animal Farm,Leo Tolstoy,2018,Romance,18.39,4.9
1984,J.R.R. Tolkien,1883,Fantasy,10.66,3.6
The Catcher in the Rye,George Orwell,1978,Adventure,16.4,4.9
The Great Gatsby,Aldous Huxley,1910,Sci-Fi,12.61,4.4
The Great Gatsby,Margaret Atwood,1865,Mystery,9.67,2.4
To Kill a Mockingbird,Leo Tolstoy,2005,Historical,11.77,2.6
The Catcher in the Rye,Aldous Huxley,1818,Romance,12.89,2.0
The Catcher in the Rye,Aldous Huxley,1931,Historical,6.04,2.3
1984,J.R.R. Tolkien,1979,Romance,15.52,1.0
Pride and Prejudice,George Orwell,1951,Sci-Fi,10.5,4.8
The Catcher in the Rye,Margaret Atwood,1876,Non-Fiction,17.58,2.9
Pride and Prejudice,Herman Melville,1928,Sci-Fi,13.48,4.5
To Kill a Mockingbird,Jane Austen,1978,Mystery,6.01,4.2
War and Peace,Herman Melville,1905,Mystery,8.15,4.6
Brave New World,Harper Lee,1838,Non-Fiction,6.46,3.3
To Kill a Mockingbird,Herman Melville,1888,Romance,10.13,4.1
1984,J.D. Salinger,1906,Adventure,16.93,1.8
The Hobbit,Jane Austen,1970,Fantasy,18.4,1.3
1984,Jane Austen,1873,Fantasy,15.55,4.2
To Kill a Mockingbird,Margaret Atwood,1991,Non-Fiction,15.01,4.3
Pride and Prejudice,George Orwell,1867,Non-Fiction,13.61,5.0
The Great Gatsby,Jane Austen,1883,Historical,16.56,1.0
Moby-Dick,Aldous Huxley,2003,Fantasy,7.45,2.5
The Catcher in the Rye,Harper Lee,1982,Fiction,16.15,1.3
Brave New World,Margaret Atwood,1999,Fiction,5.45,4.7
The Catcher in the Rye,Harper Lee,1880,Non-Fiction,19.95,2.5
To Kill a Mockingbird,Harper Lee,1997,Mystery,14.67,2.3
War and Peace,J.D. Salinger,1807,Romance,16.64,4.5
To Kill a Mockingbird,J.R.R. Tolkien,1817,Political,6.86,3.4
To Kill a Mockingbird,George Orwell,1916,Fantasy,13.33,1.9
The Hobbit,J.R.R. Tolkien,1856,Historical,10.13,1.8
War and Peace,Harper Lee,1873,Mystery,14.76,2.2
The Great Gatsby,Harper Lee,1817,Romance,15.19,3.4
Animal Farm,Harper Lee,1862,Fantasy,17.18,2.1
The Hobbit,Margaret Atwood,1864,Sci-Fi,18.24,4.6
The Hobbit,J.R.R. Tolkien,1903,Sci-Fi,15.76,4.8
To Kill a Mockingbird,Aldous Huxley,1959,Mystery,14.81,1.8
To Kill a Mockingbird,Harper Lee,1900,Sci-Fi,18.79,2.5
To Kill a Mockingbird,J.D. Salinger,1841,Non-Fiction,12.47,1.7
Moby-Dick,George Orwell,1923,Non-Fiction,19.94,1.6
The Great Gatsby,Jane Austen,1948,Fiction,18.65,1.2
Animal Farm,Leo Tolstoy,1862,Fantasy,12.83,2.2
Animal Farm,Aldous Huxley,1892,Political,18.37,4.1
1984,Margaret Atwood,2016,Mystery,15.86,2.5
1984,Aldous Huxley,1872,Dystopian,12.54,1.5
Brave New World,Harper Lee,1813,Historical,14.4,3.2
Animal Farm,J.D. Salinger,1970,Historical,18.63,2.7
Brave New World,Harper Lee,1994,Historical,16.28,2.0
Moby-Dick,J.R.R. Tolkien,1918,Sci-Fi,10.11,1.8
Moby-Dick,F. Scott Fitzgerald,1827,Mystery,19.72,4.6
War and Peace,Leo Tolstoy,1837,Romance,12.74,1.5
Brave New World,George Orwell,1957,Romance,7.81,2.9
War and Peace,Jane Austen,1811,Adventure,16.47,1.7
Pride and Prejudice,F. Scott Fitzgerald,1936,Dystopian,7.64,2.9
Pride and Prejudice,Aldous Huxley,1914,Non-Fiction,11.0,4.1
War and Peace,Jane Austen,1987,Fiction,5.44,4.5
Moby-Dick,J.R.R. Tolkien,2021,Dystopian,13.52,1.8
Animal Farm,J.D. Salinger,1888,Romance,15.59,1.6
The Great Gatsby,J.D. Salinger,1887,Sci-Fi,9.26,2.2
To Kill a Mockingbird,J.D. Salinger,1809,Sci-Fi,19.87,1.6
Brave New World,J.D. Salinger,1953,Adventure,5.02,2.4
War and Peace,Margaret Atwood,1842,Fantasy,16.86,2.8
To Kill a Mockingbird,Jane Austen,1946,Fiction,8.31,2.2
The Catcher in the Rye,J.R.R. Tolkien,1877,Non-Fiction,10.2,3.8
Brave New World,Harper Lee,1963,Fantasy,11.38,4.9
Moby-Dick,Margaret Atwood,1934,Mystery,9.53,3.6
Moby-Dick,Leo Tolstoy,1927,Fiction,8.29,1.9
The Catcher in the Rye,J.R.R. Tolkien,1867,Dystopian,16.72,2.1
The Hobbit,Leo Tolstoy,1827,Adventure,10.0,1.1
Pride and Prejudice,George Orwell,1887,Fiction,16.14,2.6
Moby-Dick,J.D. Salinger,1917,Adventure,8.16,3.0
War and Peace,George Orwell,1863,Romance,19.27,2.5
To Kill a Mockingbird,J.R.R. Tolkien,1986,Dystopian,6.73,2.1
To Kill a Mockingbird,F. Scott Fitzgerald,1892,Adventure,6.04,1.4
War and Peace,Harper Lee,1807,Dystopian,5.88,1.9
To Kill a Mockingbird,George Orwell,1872,Sci-Fi,11.73,1.3
Pride and Prejudice,Leo Tolstoy,1934,Sci-Fi,13.93,4.0
The Great Gatsby,Jane Austen,1984,Adventure,18.29,2.5
1984,Aldous Huxley,1960,Non-Fiction,11.76,4.7
Brave New World,George Orwell,1921,Historical,11.81,1.9
The Catcher in the Rye,Aldous Huxley,1870,Romance,11.99,3.6
To Kill a Mockingbird,Harper Lee,1922,Fantasy,13.78,1.9
1984,F. Scott Fitzgerald,1999,Fiction,7.55,3.0
The Hobbit,F. Scott Fitzgerald,1950,Political,17.87,2.7
To Kill a Mockingbird,J.R.R. Tolkien,1936,Historical,18.71,3.2
To Kill a Mockingbird,Leo Tolstoy,1969,Historical,8.38,2.1
The Catcher in the Rye,Aldous Huxley,1898,Adventure,18.41,3.1
1984,Margaret Atwood,1906,Fiction,7.14,1.7
1984,Aldous Huxley,1898,Fantasy,10.52,4.2
War and Peace,J.D. Salinger,1959,Fiction,12.95,5.0
The Great Gatsby,George Orwell,1989,Adventure,19.03,3.2
Pride and Prejudice,Jane Austen,1869,Dystopian,7.99,3.7
Pride and Prejudice,George Orwell,1966,Fantasy,10.08,4.4
Pride and Prejudice,Leo Tolstoy,1923,Dystopian,17.08,4.6
The Hobbit,F. Scott Fitzgerald,1895,Adventure,17.68,1.1
The Hobbit,Jane Austen,1891,Sci-Fi,6.54,4.5
The Catcher in the Rye,George Orwell,1980,Adventure,5.87,1.5
The Great Gatsby,Aldous Huxley,1869,Mystery,6.32,3.1
Moby-Dick,George Orwell,1946,Fantasy,7.18,3.6
The Catcher in the Rye,Aldous Huxley,1852,Fantasy,17.84,2.2
1984,Leo Tolstoy,1965,Sci-Fi,7.39,4.5
The Great Gatsby,Margaret Atwood,1946,Political,9.79,3.6
Animal Farm,Jane Austen,1839,Fiction,17.26,3.5
The Great Gatsby,F. Scott Fitzgerald,1877,Mystery,19.06,4.8
The Hobbit,Jane Austen,1828,Romance,6.82,1.6
The Catcher in the Rye,J.D. Salinger,1850,Sci-Fi,12.85,4.6
The Great Gatsby,Herman Melville,1988,Dystopian,14.22,1.1
The Hobbit,J.R.R. Tolkien,1977,Dystopian,8.72,2.6
The Great Gatsby,George Orwell,2020,Historical,9.92,1.4
To Kill a Mockingbird,Harper Lee,1972,Political,11.47,1.6
The Great Gatsby,J.D. Salinger,1829,Mystery,11.8,2.1
The Catcher in the Rye,Margaret Atwood,1902,Fantasy,5.96,2.5
